Time, A, B
0.000,0.000,0.000
1.053,3.902,1.266
2.105,5.977,3.921
3.158,7.080,6.939
4.211,7.667,9.844
5.263,7.979,12.443
6.316,8.145,14.679
7.368,8.233,16.560
8.421,8.280,18.120
9.474,8.305,19.404
10.526,8.318,20.455
11.579,8.325,21.311
12.632,8.329,22.008
13.684,8.331,22.574
14.737,8.332,23.034
15.789,8.333,23.407
16.842,8.333,23.709
17.895,8.333,23.954
18.947,8.333,24.152
20.000,8.333,24.313
